text,favorite_count,retweet_count
What is Adversarial Robustness Toolbox? How about AI Fairness 360 Open Source Toolkit or IBM Watson OpenScale? Lear… https://t.co/60qGtPWHYx,0,0
"Poets may dream of the heavens. But it’s #engineers who take us there. 
Let's talk about where you want to go next… https://t.co/9360jJnfmV",0,0
@jawaldron10 @IBM Did your DRIP or harvest dividends?,0,0
"RT @michelleapeluso: 50 yrs ago @IBM helped put a man on the moon &amp; we continue to push further with AI, Cloud, Blockchain &amp; beyond. See ho…",0,125
"RT @RonRiffe: From Buenos Aires to Bali, pack your bags for an IBM TechU near you - IBM Training and Skills Blog https://t.co/J1SHS7jLsw",0,1
"RT @jhal9000: 80 years ago, IBM proudly provided expertise to the Nazi genocide mission. https://t.co/JnCx4Fpl2f",0,33
@dimacgarcia @PauloMartins10 @AbrahamWeint Errado Mostra aí os números. As empresas gigantes americanas que fazem p… https://t.co/9hIDwJ8KDe,0,0
"RT @dez_blanchfield: #blog &amp; #podcast “From a phone call in a Starbucks to disaster response Owls, and launching Ducks in space, this is th…",0,238
RT @IBMFinancing: #Didyouknow #IBMFinancing offers an option to finance a #SaaS prepaid purchase?  Read the @EnterpriseAI article to learn…,0,3
"RT @IBMFinancing: Are you considering migrating your mission ciritcal applications to the #cloud ? Look out for hidden costs, &amp; leverage th…",0,1
RT @BigData_Review: IBM's new @Trifacta-powered data preparation tool is live and in the wild. We've got the scoop. https://t.co/o5lA2qxJSz,0,3
"RT @IBMFinancing: Build a smarter @IBMSupplyChain with payment plans for #SaaS subscriptions, visit #IBMFinancing to learn more https://t.c…",0,1
What is Adversarial Robustness Toolbox? How about AI Fairness 360 Open Source Toolkit or IBM Watson OpenScale? Lear… https://t.co/3yDRA0mjnV,1,0
"RT @ValaAfshar: Year Founded: 

1865 Nokia
1876 Ericsson 
1911 IBM
1928 Motorola
1938 Samsung
1939 HP
1946 Sony
1963 Comcast
1968 @Intel
19…",0,822
"RT @IBMSupplyChain: Global visibility across all inventory locations, including stores, can be the 🔑 to your success in 2019: https://t.co/…",0,1
Cade abre processo administrativo contra IBM para apurar compra da Red Hat https://t.co/HY8xanRCk8 https://t.co/aRIdil7PVL,0,0
"2019-07-20 03:45現在、IBM箱崎周辺では１時間後に弱い雨が降り始めそうです。
https://t.co/jMhkkkNPgO
#hakozaki #tenki",0,0
"2019-07-20 03:45現在、IBM豊洲周辺では１時間後に弱い雨が降り始めそうです。
https://t.co/SwX2fOQgQ5
#toyosu #tenki",0,0
Time is running out ⏰ reserve your spot before July 21st in order to take advantage of our special pricing. Save up… https://t.co/vwZidh47cC,0,0
"RT @dez_blanchfield: #blog &amp; #podcast “From a phone call in a Starbucks to disaster response Owls, and launching Ducks in space, this is th…",0,238
RT techreview: Artificial intelligence and virtual reality are helping students become fluent in Mandarin Chinese. https://t.co/L4Dij2Afzi,0,0
RT @IBMIBV: We interviewed 1.5k #CSuite executives across the globe and discovered 6 crucial #strategies to perpetuate digital #success.…,0,20
What AT&amp;T's Deals with IBM and Microsoft Mean for the Cloud https://t.co/Sic4cQhwAD,0,0
RT Artificial intelligence and virtual reality are helping students become fluent in Mandarin Chinese. https://t.co/bLx5KKTSDS,0,0
"RT @lachlan: Loling at the hashtag ""#NoBidBezos"". Oracle, Microsoft, IBM, and Amazon all submitted bids for this very contract https://t.co…",0,10
"RT @lachlan: Loling at the hashtag ""#NoBidBezos"". Oracle, Microsoft, IBM, and Amazon all submitted bids for this very contract https://t.co…",0,10
@IBM lol,0,0
@IBM_UK_news @ComputerWeekly @samoore You have my vote Sharon.,0,0
"@IBM And now you are in China ??
AMERICANS FIRST !!",0,0
RT @techreview: Artificial intelligence and virtual reality are helping students become fluent in Mandarin Chinese. https://t.co/WCUWS1CRKW,0,5
RT @techreview: Artificial intelligence and virtual reality are helping students become fluent in Mandarin Chinese. https://t.co/WCUWS1CRKW,0,5
RT @NYCStein: Looks like a pretty cool exhibit that @IBM is setting up in the WTC Oculus to commemorate #Apollo50 #MoonLanding50. https://t…,0,78
@LibertyRPF Don’t count IBM out of the cloud race...they grew 5% last Q,0,0
RT @4eyedmonk: They boasted of how they were going to bring Microsoft and IBM as expert witnesses to prove that a so called server was hidi…,0,11
"RT @DevOpsDaysINDY: NEW this year, half day of no additional cost training:
Wednesday, July 24 - 1 to 5pm
➡️ Kubernetes Training by IBM
➡️…",0,2
RT @Viewpointellc: Sharing content externally just became easier with IBM FileNet and IBM Content Navigator (ICN) with a feature included i…,0,1
A new immersive classroom uses AI and VR to teach Mandarin Chinese https://t.co/yfIj6gBuNn,0,0
"RT @ValaAfshar: Year Founded: 

1865 Nokia
1876 Ericsson 
1911 IBM
1928 Motorola
1938 Samsung
1939 HP
1946 Sony
1963 Comcast
1968 @Intel
19…",0,822
RT @FirstNetGov: The countdown is on! Submissions end for #CallforCode on July 29th. Enter the challenge today to build off the latest #ope…,0,3
"RT @TUshitora: 記憶を整理しながら
日本IBMスレに書き込んでいて　初めて気が付きました🤔

精神疾患日本IBMバカ創価役員の御蔭で
911テロ（46分発生）前から
💥鼠の脳みそ💥程度の知能になっていましたが･･･

私の場合
誰に騙されていたかが　分析できたので…",0,1
"@IBM y AT&amp;T anunciaron hoy una alianza estratégica de varios años. Bajo el acuerdo, AT&amp;T utilizará la experiencia d… https://t.co/zZCt9937Qh",0,0
RT @IBMAnalytics: The #AI Revolution is here for #retail. Executives weigh in on what AI and #automation could mean for the industry: https…,0,11
RT @KaranBajwa_IN: IBM’s Connected Vehicle software drawn on #SaaS has redefined the driving experience in connected cars. @IBM_in #Lingraj…,0,2
"RT @ZDNet: To the Moon: IBM and Univac, Apollo 11's integrators https://t.co/IF0ltL80Qj",0,2
"RT @lachlan: Loling at the hashtag ""#NoBidBezos"". Oracle, Microsoft, IBM, and Amazon all submitted bids for this very contract https://t.co…",0,10
